item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at
14GN-30,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30+5,FLATBED GOOSENECK,4,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-30BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-30D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30STA,FLATBED GOOSENECK,3,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-33D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-33D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-33D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-35+5,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-35BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-35D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-35D5A-MRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-35STA,FLATBED GOOSENECK,3,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-36,FLATBED GOOSENECK,4,14GN,15900,Wood,36.0,8.0,9.0,2.5,45.0,2026-04-17T15:46:34Z
14GN-40,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40BK8SIR,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
