item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
70SR-10-5WDD,DUMP,1,70SR,7000,Steel,10,5.0,4,3,14,2026-05-12T14:11:41Z,1730,Y
90SR-10,DUMP,3,90SR,9990,Steel,10,7.0,4,4,14,2026-05-12T14:11:41Z,2750,Y
90SR-10BK6SIR,DUMP,1,90SR,9990,Steel,10,6.0,4,4,14,2026-05-12T14:11:41Z,2990,Y
90SR-10BK7SIR,DUMP,4,90SR,9990,Steel,10,6.0,4,4,14,2026-05-12T14:11:41Z,,N
90SR-12,DUMP,3,90SR,9990,Steel,12,7.0,4,4,16,2026-05-12T14:11:41Z,2930,Y
90SR-12BK6SIR,DUMP,1,90SR,9990,Steel,12,6.0,4,4,16,2026-05-12T14:11:41Z,2990,Y
TC14-14BK,DUMP,2,TC14,14000,Steel,14,7.0,4,3,18,2026-05-12T14:11:41Z,3555,Y
14EB-18D2A-KRBK,EQUIPMENT HAULER,2,14EB,14000,Wood,18,7.0,4,2,22,2026-05-12T14:11:41Z,2860,Y
14EB-20D2A-KRBK,EQUIPMENT HAULER,1,14EB,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,3020,Y
14EB-22D2A-KRBK,EQUIPMENT HAULER,1,14EB,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,3150,Y
14EH-16D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,16,7.0,6,2,22,2026-05-12T14:11:41Z,2860,Y
14EH-16D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,16,7.0,6,2,22,2026-05-12T14:11:41Z,2860,Y
14EH-16D3A-MRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,16,7.0,6,2,22,2026-05-12T14:11:41Z,3060,Y
14EH-18D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,18,7.0,6,2,24,2026-05-12T14:11:41Z,3020,Y
14EH-18D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,18,7.0,6,2,24,2026-05-12T14:11:41Z,3020,Y
14EH-18D3A-MRBK,EQUIPMENT HAULER,1,14EH,15400,Wood,18,7.0,6,2,24,2026-05-12T14:11:41Z,3220,Y
14EH-20D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,20,7.0,6,2,26,2026-05-12T14:11:41Z,3150,Y
14EH-20D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,20,7.0,6,2,26,2026-05-12T14:11:41Z,3150,Y
